text,label
"Doctors shocked by natural treatment for all illnesses",fake
"Urgent alert! Your mobile phone may explode tonight",fake
"Forward this warning to protect your family",fake
"Scientists prove Earth will go dark for three days",fake
"Hidden code in currency notes controls human minds",fake
"Breaking! Famous actor exposed in secret operation",fake
"Magnetic bracelet cures joint pain instantly",fake
"Ancient temple contains machine from the future",fake
"Special tea removes toxins from body in minutes",fake
"Experts reveal dangerous truth media won't show you",fake
"One weird trick improves eyesight permanently",fake
"Government confirms dragons existed thousands of years ago",fake
"Secret island discovered with immortal people living there",fake
"Researchers publish findings on renewable energy systems",real
"Government launches national road safety campaign",real
"Scientists develop affordable water purification technology",real
"Health ministry advises precautions during heatwave",real
"University researchers create smart farming solution",real
"Meteorological department issues cyclone warning",real
"Engineers design energy-efficient cooling systems",real
"Medical experts recommend regular health screenings",real
"New public transportation project approved by authorities",real
"Researchers study impact of artificial intelligence in education",real
"Police department launches women safety initiative",real
"Scientists discover new marine species in deep ocean",real
"Central bank announces updated financial policies",real
"Experts discuss cybersecurity challenges at technology summit",real
"Government increases funding for scientific research",real
"Environmental groups promote tree plantation campaign",real
"Researchers develop biodegradable packaging material",real
"New satellite improves communication services in rural areas",real
"International conference focuses on climate change solutions",real
"Doctors encourage vaccination to prevent seasonal diseases",real
"Scientists test advanced robotics for medical surgeries",real
"Public health officials monitor spread of viral infections",real
"Technology companies invest in green energy projects",real
"Researchers examine mental health effects of social media",real
"Education board releases updated examination schedule",real
"Authorities strengthen disaster management systems",real
"Scientists discover efficient battery recycling process",real
"Government introduces digital payment awareness program",real
"Experts recommend balanced nutrition for children",real
"Medical researchers investigate causes of sleep disorders",real
"Reserve Bank increases repo rate to control inflation",real
"ISRO successfully tests reusable launch vehicle technology",real
"Indian Railways announces new Vande Bharat train routes",real
"Health ministry launches nationwide vaccination awareness campaign",real
"Scientists discover microplastic particles in Arctic ice samples",real
"Supreme Court hears petition regarding online privacy laws",real
"Researchers develop AI system for early cancer detection",real
"Government announces subsidy for electric vehicle manufacturers",real
"Weather department predicts heavy rainfall in coastal regions",real
"NASA releases new images captured by James Webb Space Telescope",real
"World Health Organization issues updated dengue prevention guidelines",real
"Researchers publish study on effects of climate change on agriculture",real
"Education ministry introduces coding curriculum in schools",real
"Cybersecurity agencies warn users about phishing email attacks",real
"Scientists study impact of air pollution on respiratory diseases",real
"Finance minister presents annual union budget in parliament",real
"Researchers develop low-cost prosthetic limb technology",real
"United Nations discusses global food security challenges",real
"Scientists identify new exoplanet similar to Earth",real
"Government launches digital literacy program in rural areas",real
"Indian cricket team announces squad for upcoming tournament",real
"Researchers test hydrogen-powered public transportation system",real
"Medical experts advise precautions during seasonal flu outbreak",real
"Authorities begin rescue operations after landslide in mountain region",real
"Scientists create biodegradable alternative to plastic packaging",real
"International summit focuses on renewable energy cooperation",real
"Police issue advisory regarding rising online banking fraud cases",real
"Researchers discover possible link between sleep and memory retention",real
"Government approves construction of new expressway project",real
"Space agency confirms successful satellite deployment mission",real
"Breaking! Drinking coffee instantly doubles brain power",fake
"Scientists secretly confirm dinosaurs still alive underground",fake
"Government planning to ban mobile phones permanently",fake
"Miracle oil cures diabetes within two hours",fake
"Hidden pyramid found on the moon by astronauts",fake
"Forward this message to avoid bad luck for seven years",fake
"Experts reveal shocking truth about everyday toothpaste",fake
"Secret vitamin makes humans immune to all diseases",fake
"Aliens officially contact Earth according to leaked documents",fake
"Doctors hate this natural cure for high blood pressure",fake
"Breaking! Time traveler predicts end of the world next month",fake
"Scientists confirm eating chocolate causes instant weight loss",fake
"Government hiding giant sea monster discovery from public",fake
"Ancient book reveals secret to living 200 years",fake
"Special frequency music can cure all mental illnesses",fake
"Leaked report claims gravity will weaken in coming years",fake
"Miracle seed grows full tree within 24 hours",fake
"Shocking discovery proves humans never needed sleep",fake
"Secret military technology controls weather worldwide",fake
"Experts warn moonlight exposure can damage memory permanently",fake
"Researchers develop AI-powered system for detecting forest fires early",real
"Government approves new metro rail expansion project in major cities",real
"Scientists discover new coral reef species in Pacific Ocean",real
"Medical experts release updated guidelines for diabetes management",real
"Cybersecurity researchers identify vulnerabilities in banking software",real
"Space agency begins testing next-generation satellite communication system",real
"Authorities announce stricter traffic safety regulations for highways",real
"Researchers study effects of excessive screen time on children's health",real
"Scientists create environmentally friendly alternative to concrete",real
"World leaders discuss renewable energy targets during climate summit",real
"Government launches nationwide campaign for digital financial literacy",real
"Health officials monitor increase in seasonal allergy cases",real
"Researchers discover efficient desalination process for seawater treatment",real
"Scientists examine impact of deforestation on wildlife migration",real
"Public transport department introduces smart ticketing technology",real
"Researchers publish findings on benefits of urban green spaces",real
"Police warn citizens about rise in QR code payment scams",real
"Engineers develop lightweight materials for electric aircraft",real
"Scientists study relationship between diet and brain health",real
"Authorities strengthen emergency preparedness systems for earthquakes",real
"Researchers create low-cost AI device for assisting visually impaired people",real
"Scientists investigate causes of declining bee populations",real
"Government announces incentives for semiconductor chip manufacturing",real
"Medical researchers develop wearable device for heart monitoring",real
"Experts discuss ethical concerns surrounding generative AI systems",real
"Breaking! Scientists discover invisible city floating above Earth",fake
"Secret underground civilization found beneath Antarctic ice",fake
"Government hiding machine capable of controlling dreams",fake
"Miracle tablet allows humans to live without eating food",fake
"Experts claim moonlight contains hidden healing radiation",fake
"Scientists secretly testing dragon DNA in laboratories",fake
"Special chanting technique unlocks telepathic abilities",fake
"Breaking! Giant sea creature spotted near international shipping route",fake
"Leaked documents reveal humans originally came from Mars",fake
"Miracle fruit juice instantly restores damaged eyesight",fake
"Government secretly communicating with underwater aliens",fake
"Scientists prove humans can survive without oxygen for hours",fake
"Ancient artifact discovered that predicts future disasters",fake
"Special frequency device protects against all viruses",fake
"Breaking! Time machine accidentally activated during experiment",fake
"Experts reveal hidden portal beneath ancient pyramids",fake
"Scientists claim clouds contain microscopic surveillance devices",fake
"Government hiding anti-aging serum from public hospitals",fake
"Miracle leaf cures every known infection naturally",fake
"Researchers secretly revive extinct prehistoric bird species",fake
"Special magnetic shoes increase human running speed instantly",fake
"Aliens reportedly detected living under ocean floor",fake
"Breaking! Secret experiment causes animals to speak human language",fake
"Experts warn television signals may alter human memory",fake
"Scientists discover hidden energy field around Earth",fake
"Government announces new policy for renewable energy expansion",real
"Researchers develop biodegradable batteries for electronic devices",real
"NASA scientists study possibility of life on distant exoplanets",real
"Indian Railways introduces upgraded safety monitoring system",real
"World Bank releases report on global economic recovery",real
"Scientists identify new species in the Amazon rainforest",real
"Medical researchers examine long-term effects of processed food",real
"Cybersecurity experts warn against fake banking applications",real
"Education ministry launches nationwide digital classroom initiative",real
"Engineers create affordable electric mobility solution for cities",real
"Authorities issue advisory regarding heatwave conditions",real
"Researchers study impact of microplastics on ocean ecosystems",real
"Scientists discover efficient method for hydrogen fuel storage",real
"Health officials monitor spread of seasonal influenza cases",real
"Government increases investment in public healthcare infrastructure",real
"Space agency prepares mission for asteroid sample collection",real
"Researchers publish report on mental health awareness among students",real
"Technology companies collaborate on advanced AI safety standards",real
"Scientists test robotic assistance systems for elderly care",real
"Meteorological department predicts thunderstorms in western regions",real
"Researchers discover new technique for early earthquake detection",real
"Police launch awareness campaign against online fraud",real
"Environmental experts discuss water conservation strategies",real
"Scientists examine renewable alternatives to fossil fuels",real
"Medical experts advise maintaining healthy sleep routines",real
"Authorities begin restoration work after severe flooding",real
"Researchers create AI system for detecting fake online reviews",real
"Scientists study glacier melting patterns in polar regions",real
"Government launches skill development program for rural youth",real
"Public transport department introduces electric buses in major cities",real
"Breaking! Scientists discover humans can breathe underwater naturally",fake
"Government secretly replacing birds with surveillance drones",fake
"Miracle crystal cures every known disease instantly",fake
"Experts reveal shocking truth about invisible moon bases",fake
"Secret military experiment accidentally opened time portal",fake
"Scientists confirm humans can survive entirely on sunlight",fake
"Drinking hot lemon water triples intelligence levels",fake
"Aliens secretly working inside international space agencies",fake
"Breaking! Hidden treasure found beneath famous monument",fake
"Experts claim dreams can predict lottery numbers accurately",fake
"Government hiding giant underground alien city",fake
"Scientists secretly developing immortality injection",fake
"Special ringtone increases memory power overnight",fake
"Leaked files prove dinosaurs still exist on remote island",fake
"Magic powder melts body fat within minutes",fake
"Experts warn ordinary mirrors may contain hidden cameras",fake
"Scientists discover talking fish near deep ocean trench",fake
"Government confirms weather controlled using secret machines",fake
"Special fruit juice protects against all viruses",fake
"Ancient machine discovered capable of predicting future events",fake
"Shocking report claims mobile towers alter human DNA",fake
"Scientists reveal secret planet hidden behind the sun",fake
"Miracle tea allows humans to stay awake forever",fake
"Breaking! Volcano discovered beneath major city",fake
"Experts claim invisible creatures live among humans",fake
"Secret sound frequency unlocks unused brain power",fake
"Scientists discover method to communicate with plants",fake
"Government hiding evidence of underwater civilization",fake
"Special vitamin reverses aging process completely",fake
"Researchers secretly clone extinct prehistoric animals",fake
"Central government announces new semiconductor manufacturing policy",real
"Researchers develop AI tool for detecting early signs of heart disease",real
"IMD predicts above-normal monsoon rainfall this season",real
"Scientists discover new method for reducing carbon emissions",real
"Reserve Bank warns banks about rising cyber fraud attempts",real
"WHO urges countries to strengthen pandemic preparedness systems",real
"Supreme Court reviews petition related to digital privacy regulations",real
"ISRO prepares for next lunar exploration mission",real
"Researchers study effects of social media usage on teenagers",real
"Government launches startup support scheme for young entrepreneurs",real
"NASA confirms successful communication with deep space probe",real
"Public health experts recommend booster vaccination for elderly citizens",real
"Scientists identify new treatment approach for rare genetic disorder",real
"Engineers develop smart traffic management system using AI",real
"International scientists collaborate on climate monitoring project",real
"Education ministry introduces updated guidelines for online learning",real
"Authorities issue flood warning in several northern districts",real
"Researchers discover efficient solar panel recycling technique",real
"Indian economy records growth in latest quarterly report",real
"Scientists examine impact of rising temperatures on marine ecosystems",real
"Technology firms invest heavily in renewable energy infrastructure",real
"Government expands digital healthcare services in rural areas",real
"Researchers publish findings on mental health and sleep quality",real
"Medical experts caution against self-medication during viral outbreaks",real
"Scientists develop low-cost water filtration system for villages",real
"Police arrest cybercrime group involved in financial scams",real
"Authorities begin emergency response after earthquake tremors reported",real
"Experts discuss ethical challenges of artificial intelligence systems",real
"Space agency releases data collected from Mars exploration rover",real
"Researchers discover bacteria capable of breaking down plastic waste",real
"Breaking! Scientists discover hidden city under the ocean",fake
"Government secretly planning nationwide internet shutdown",fake
"Miracle spice cures all heart diseases naturally",fake
"Experts claim humans will become immortal within five years",fake
"Aliens living inside volcanoes according to leaked documents",fake
"Special sound waves can instantly increase IQ levels",fake
"Scientists confirm teleportation machine tested successfully",fake
"Drinking silver water reverses aging completely",fake
"Breaking! Moon will disappear for two days next month",fake
"Government hiding evidence of giant creatures in Antarctica",fake
"Secret ancient formula guarantees perfect memory forever",fake
"Experts reveal shocking truth about invisible energy attacks",fake
"One simple fruit can eliminate diabetes permanently",fake
"Scientists secretly discover portal to another dimension",fake
"Leaked report says smartphones can read human thoughts",fake
"Urgent! New virus spreads through mobile phone signals",fake
"Doctors shocked by teenager who never slept for ten years",fake
"Government confirms discovery of mythical flying creatures",fake
"Hidden frequencies in music can control human emotions completely",fake
"Scientists claim humans can survive without food for months",fake
"Breaking! Time travel experiment succeeds in secret laboratory",fake
"Special bracelet protects people from all diseases",fake
"Experts warn mirrors may secretly damage brain cells",fake
"Ancient civilization discovered living beneath desert caves",fake
"Shocking study proves clouds are artificial structures",fake
"Government hiding anti-gravity technology from the public",fake
"Miracle drink increases human lifespan by 50 years",fake
"Scientists confirm existence of invisible parallel universe",fake
"Special meditation method unlocks supernatural powers",fake
"Secret island found where people stop aging naturally",fake
"Researchers are testing whether a plant extract may help regulate blood sugar levels",real
"Doctors are studying possible benefits of herbal compounds in diabetes treatment",real
"Scientists investigate natural substances for potential medical applications",real
"Medical researchers examine effects of plant-based nutrition on heart health",real
"Experts continue research on alternative treatments for chronic diseases",real
"Clinical trials are being conducted to test new herbal medicines",real
"Researchers study whether green tea compounds may reduce inflammation",real
"Scientists analyze long-term health effects of natural supplements",real
"Doctors publish findings on experimental treatment methods",real
"Medical teams investigate possible cancer treatment technologies",real
"Experts claim a common kitchen ingredient can completely cure arthritis",fake
"Social media posts falsely claim vaccines contain tracking devices",fake
"Fake reports suggest drinking salt water prevents viral infections",fake
"Online rumors claim a celebrity secretly funded illegal experiments",fake
"Misleading articles spread false claims about government bank shutdowns",fake
"Viral message falsely claims ATM withdrawals will be blocked next week",fake
"Conspiracy theories suggest weather disasters are artificially created",fake
"False reports claim scientists proved 5G towers weaken immunity",fake
"Misleading social media posts exaggerate side effects of medicines",fake
"Fake online articles spread rumors about food shortages nationwide",fake
